"Car_Name","Price","Mileage","Fuel","Gearbox","Year","Voivodeship"
"Opel Adam 1.2","20 000","108 632 km","Benzyna","Manualna","2014","Lubuskie"
"Opel Astra V 1.4 T GPF Dynamic S&S","54 900","40 578 km","Benzyna","Manualna","2018","Dolnośląskie"
"Opel Insignia 1.5 T Elite S&S","67 999","87 000 km","Benzyna","Manualna","2018","Śląskie"
"Opel Meriva 1.4 Enjoy","33 900","136 859 km","Benzyna","Manualna","2016","Śląskie"
"Opel Corsa 1.4 Selection","30 000","45 700 km","Benzyna","Manualna","2015","Dolnośląskie"
"Opel Mokka 1.2 T GS S&S","74 900","29 266 km","Benzyna","Manualna","2023","Kujawsko-pomorskie"
"Opel Astra 1.4 Turbo Active","24 900","85 547 km","Benzyna","Manualna","2013","Podkarpackie"
"Opel Combo","108 804","1 km","Diesel","Manualna","2025","Śląskie"
"Opel Meriva 1.4 Enjoy","33 000","131 000 km","Benzyna","Manualna","2016","Kujawsko-pomorskie"
"Opel Mokka 1.4 T Cosmo S&S 4x4","39 900","144 000 km","Benzyna","Manualna","2012","Podkarpackie"
"Opel Corsa 1.4 120 Jahre","33 500","61 500 km","Benzyna","Manualna","2019","Dolnośląskie"
"Opel Astra V 1.2 T Edition S&S","40 900","141 500 km","Benzyna","Manualna","2019","Małopolskie"
"Opel Mokka 1.6 Cosmo S&S","37 000","99 508 km","Benzyna","Manualna","2014","Pomorskie"
"Opel Mokka 1.4 Turbo ecoFLEX Start/Stop Innovation","37 900","119 000 km","Benzyna","Manualna","2015","Zachodniopomorskie"
"Opel Corsa 1.2 16V EcoFLEX Satellite","12 999","146 280 km","Benzyna","Manualna","2011","Wielkopolskie"
"Opel Astra V 1.4 T Enjoy","37 900","136 200 km","Benzyna","Manualna","2016","Kujawsko-pomorskie"
"Opel Zafira Tourer 1.4 Turbo ecoFLEX Start/Stop Business Innovation","31 900","128 000 km","Benzyna","Manualna","2015","Zachodniopomorskie"
